text,severity
Functional bug: fetching user data in S3 Bucket is unresponsive.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Logic error in Payment Module while verifying JWT.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Standard issue: processing checkout doesn't work as expected in React Store.,Normal
Functional bug: uploading files in API Gateway is missing.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Functional bug: processing checkout in Payment Module is missing.,Normal
Standard issue: processing checkout doesn't work as expected in React Store.,Normal
The Dashboard card is lagging when uploading files.,Normal
Functional bug: fetching user data in Auth Service is broken.,Normal
The Navbar is unresponsive when processing checkout.,Normal
Logic error in Payment Module while uploading files.,Normal
The Submit button is unresponsive when syncing logs.,Normal
Functional bug: syncing logs in API Gateway is failing.,Normal
Standard issue: processing checkout doesn't work as expected in React Store.,Normal
Logic error in React Store while processing checkout.,Normal
Logic error in Payment Module while syncing logs.,Normal
The Footer is unresponsive when fetching user data.,Normal
Logic error in Prisma Layer while syncing logs.,Normal
Logic error in API Gateway while processing checkout.,Normal
The Avatar upload is unresponsive when verifying JWT.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Logic error in Auth Service while uploading files.,Normal
The Dashboard card is unresponsive when syncing logs.,Normal
Standard issue: processing checkout doesn't work as expected in Prisma Layer.,Normal
The Submit button is broken when verifying JWT.,Normal
Interface error: Footer overlaps with Footer.,Normal
The Dashboard card is lagging when uploading files.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Logic error in API Gateway while syncing logs.,Normal
Functional bug: processing checkout in Payment Module is off-center.,Normal
Logic error in React Store while fetching user data.,Normal
The Dashboard card is unresponsive when fetching user data.,Normal
Functional bug: fetching user data in S3 Bucket is missing.,Normal
Logic error in Payment Module while processing checkout.,Normal
Standard issue: processing checkout doesn't work as expected in Payment Module.,Normal
Functional bug: processing checkout in React Store is failing.,Normal
Functional bug: fetching user data in S3 Bucket is missing.,Normal
Standard issue: processing checkout doesn't work as expected in React Store.,Normal
Standard issue: fetching user data doesn't work as expected in Auth Service.,Normal
Logic error in Auth Service while syncing logs.,Normal
Standard issue: fetching user data doesn't work as expected in Payment Module.,Normal
The Submit button is off-center when verifying JWT.,Normal
The Submit button is failing when processing checkout.,Normal
Logic error in Payment Module while syncing logs.,Normal
Logic error in API Gateway while uploading files.,Normal
Functional bug: uploading files in Auth Service is failing.,Normal
Standard issue: syncing logs doesn't work as expected in React Store.,Normal
Logic error in S3 Bucket while verifying JWT.,Normal
The Dashboard card is broken when processing checkout.,Normal
Logic error in Auth Service while fetching user data.,Normal
Functional bug: uploading files in API Gateway is off-center.,Normal
Standard issue: verifying JWT doesn't work as expected in React Store.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Standard issue: fetching user data doesn't work as expected in S3 Bucket.,Normal
Standard issue: syncing logs doesn't work as expected in Payment Module.,Normal
Functional bug: verifying JWT in React Store is lagging.,Normal
Functional bug: verifying JWT in Prisma Layer is off-center.,Normal
Standard issue: fetching user data doesn't work as expected in S3 Bucket.,Normal
Standard issue: verifying JWT doesn't work as expected in Payment Module.,Normal
Logic error in React Store while fetching user data.,Normal
The Footer is failing when verifying JWT.,Normal
The Submit button is missing when processing checkout.,Normal
The Submit button is lagging when uploading files.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
Logic error in Auth Service while processing checkout.,Normal
Standard issue: fetching user data doesn't work as expected in Prisma Layer.,Normal
Standard issue: syncing logs doesn't work as expected in API Gateway.,Normal
Interface error: Navbar overlaps with Navbar.,Normal
The Submit button is lagging when verifying JWT.,Normal
Standard issue: fetching user data doesn't work as expected in Prisma Layer.,Normal
Standard issue: verifying JWT doesn't work as expected in Auth Service.,Normal
Functional bug: uploading files in S3 Bucket is unresponsive.,Normal
Interface error: Footer overlaps with Footer.,Normal
Standard issue: syncing logs doesn't work as expected in React Store.,Normal
The Dashboard card is off-center when uploading files.,Normal
Logic error in Auth Service while fetching user data.,Normal
Functional bug: syncing logs in React Store is off-center.,Normal
Standard issue: syncing logs doesn't work as expected in Payment Module.,Normal
Standard issue: syncing logs doesn't work as expected in S3 Bucket.,Normal
Standard issue: verifying JWT doesn't work as expected in Prisma Layer.,Normal
Logic error in API Gateway while syncing logs.,Normal
The Footer is broken when uploading files.,Normal
Logic error in Prisma Layer while processing checkout.,Normal
Logic error in S3 Bucket while verifying JWT.,Normal
Functional bug: syncing logs in React Store is failing.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Functional bug: processing checkout in React Store is off-center.,Normal
Interface error: Footer overlaps with Footer.,Normal
Functional bug: fetching user data in S3 Bucket is lagging.,Normal
Standard issue: syncing logs doesn't work as expected in Prisma Layer.,Normal
Interface error: Footer overlaps with Footer.,Normal
Functional bug: verifying JWT in React Store is failing.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Functional bug: verifying JWT in S3 Bucket is failing.,Normal
Logic error in S3 Bucket while processing checkout.,Normal
Functional bug: fetching user data in Prisma Layer is missing.,Normal
Functional bug: uploading files in Payment Module is lagging.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Logic error in Auth Service while uploading files.,Normal
The Avatar upload is missing when verifying JWT.,Normal
Functional bug: verifying JWT in Auth Service is lagging.,Normal
Standard issue: processing checkout doesn't work as expected in API Gateway.,Normal
The Footer is failing when processing checkout.,Normal
The Dashboard card is lagging when uploading files.,Normal
Interface error: Navbar overlaps with Navbar.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Logic error in React Store while processing checkout.,Normal
Functional bug: uploading files in API Gateway is off-center.,Normal
Logic error in Payment Module while processing checkout.,Normal
The Footer is off-center when verifying JWT.,Normal
Standard issue: fetching user data doesn't work as expected in API Gateway.,Normal
Logic error in API Gateway while fetching user data.,Normal
Standard issue: verifying JWT doesn't work as expected in S3 Bucket.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Logic error in Auth Service while fetching user data.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
Functional bug: fetching user data in Payment Module is failing.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Logic error in Payment Module while processing checkout.,Normal
Standard issue: processing checkout doesn't work as expected in Prisma Layer.,Normal
Logic error in Auth Service while processing checkout.,Normal
The Navbar is off-center when syncing logs.,Normal
Functional bug: verifying JWT in React Store is failing.,Normal
Standard issue: fetching user data doesn't work as expected in Prisma Layer.,Normal
Standard issue: fetching user data doesn't work as expected in API Gateway.,Normal
Functional bug: verifying JWT in React Store is unresponsive.,Normal
Standard issue: syncing logs doesn't work as expected in Payment Module.,Normal
Interface error: Footer overlaps with Footer.,Normal
Logic error in S3 Bucket while fetching user data.,Normal
Logic error in React Store while uploading files.,Normal
Functional bug: fetching user data in S3 Bucket is broken.,Normal
Standard issue: verifying JWT doesn't work as expected in Auth Service.,Normal
The Navbar is lagging when uploading files.,Normal
Functional bug: processing checkout in React Store is off-center.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
The Dashboard card is failing when uploading files.,Normal
Logic error in API Gateway while processing checkout.,Normal
Standard issue: processing checkout doesn't work as expected in API Gateway.,Normal
Logic error in React Store while verifying JWT.,Normal
Logic error in API Gateway while fetching user data.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
Functional bug: syncing logs in Prisma Layer is failing.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Functional bug: verifying JWT in Payment Module is missing.,Normal
The Dashboard card is missing when fetching user data.,Normal
Functional bug: uploading files in Payment Module is failing.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Standard issue: syncing logs doesn't work as expected in Auth Service.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Standard issue: verifying JWT doesn't work as expected in Auth Service.,Normal
Functional bug: verifying JWT in Auth Service is missing.,Normal
Logic error in S3 Bucket while syncing logs.,Normal
The Navbar is failing when uploading files.,Normal
Logic error in Payment Module while uploading files.,Normal
Functional bug: uploading files in S3 Bucket is unresponsive.,Normal
Standard issue: verifying JWT doesn't work as expected in S3 Bucket.,Normal
Functional bug: fetching user data in Auth Service is failing.,Normal
Interface error: Footer overlaps with Footer.,Normal
Logic error in S3 Bucket while syncing logs.,Normal
The Submit button is failing when syncing logs.,Normal
The Dashboard card is lagging when syncing logs.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
The Submit button is failing when fetching user data.,Normal
The Navbar is lagging when syncing logs.,Normal
Logic error in Payment Module while processing checkout.,Normal
Functional bug: fetching user data in Auth Service is failing.,Normal
Interface error: Navbar overlaps with Navbar.,Normal
Functional bug: fetching user data in API Gateway is lagging.,Normal
Functional bug: verifying JWT in S3 Bucket is off-center.,Normal
The Footer is lagging when fetching user data.,Normal
The Navbar is off-center when uploading files.,Normal
Functional bug: verifying JWT in Payment Module is missing.,Normal
Functional bug: uploading files in Auth Service is missing.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Interface error: Footer overlaps with Footer.,Normal
The Footer is off-center when verifying JWT.,Normal
Logic error in Prisma Layer while uploading files.,Normal
Standard issue: verifying JWT doesn't work as expected in React Store.,Normal
Logic error in S3 Bucket while processing checkout.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
Standard issue: uploading files doesn't work as expected in Prisma Layer.,Normal
Logic error in Prisma Layer while processing checkout.,Normal
Standard issue: uploading files doesn't work as expected in Prisma Layer.,Normal
Interface error: Footer overlaps with Footer.,Normal
The Navbar is lagging when syncing logs.,Normal
Standard issue: uploading files doesn't work as expected in Prisma Layer.,Normal
The Avatar upload is off-center when verifying JWT.,Normal
Logic error in Payment Module while verifying JWT.,Normal
Functional bug: processing checkout in React Store is lagging.,Normal
Functional bug: uploading files in Payment Module is off-center.,Normal
Functional bug: syncing logs in React Store is lagging.,Normal
The Navbar is unresponsive when verifying JWT.,Normal
Logic error in React Store while processing checkout.,Normal
Standard issue: verifying JWT doesn't work as expected in API Gateway.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
Standard issue: uploading files doesn't work as expected in API Gateway.,Normal
Standard issue: uploading files doesn't work as expected in Auth Service.,Normal
Functional bug: processing checkout in Auth Service is off-center.,Normal
Functional bug: fetching user data in API Gateway is unresponsive.,Normal
Interface error: Navbar overlaps with Navbar.,Normal
Standard issue: uploading files doesn't work as expected in API Gateway.,Normal
Interface error: Navbar overlaps with Navbar.,Normal
Functional bug: fetching user data in Prisma Layer is lagging.,Normal
Standard issue: uploading files doesn't work as expected in Prisma Layer.,Normal
Functional bug: fetching user data in Prisma Layer is off-center.,Normal
Functional bug: processing checkout in API Gateway is unresponsive.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Logic error in Payment Module while syncing logs.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
The Avatar upload is failing when processing checkout.,Normal
Logic error in Payment Module while fetching user data.,Normal
Standard issue: fetching user data doesn't work as expected in API Gateway.,Normal
Logic error in API Gateway while syncing logs.,Normal
The Navbar is broken when processing checkout.,Normal
Logic error in S3 Bucket while processing checkout.,Normal
Logic error in Payment Module while processing checkout.,Normal
Logic error in Payment Module while fetching user data.,Normal
Functional bug: syncing logs in API Gateway is failing.,Normal
The Submit button is failing when processing checkout.,Normal
Logic error in Prisma Layer while uploading files.,Normal
The Dashboard card is failing when processing checkout.,Normal
Interface error: Footer overlaps with Footer.,Normal
Logic error in API Gateway while uploading files.,Normal
Logic error in API Gateway while uploading files.,Normal
Logic error in API Gateway while uploading files.,Normal
The Dashboard card is broken when verifying JWT.,Normal
Standard issue: fetching user data doesn't work as expected in Prisma Layer.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
Standard issue: syncing logs doesn't work as expected in React Store.,Normal
The Footer is lagging when verifying JWT.,Normal
Standard issue: processing checkout doesn't work as expected in API Gateway.,Normal
Logic error in Payment Module while verifying JWT.,Normal
Standard issue: uploading files doesn't work as expected in S3 Bucket.,Normal
The Footer is broken when uploading files.,Normal
Standard issue: fetching user data doesn't work as expected in React Store.,Normal
Functional bug: uploading files in Auth Service is unresponsive.,Normal
Functional bug: fetching user data in Prisma Layer is failing.,Normal
Standard issue: verifying JWT doesn't work as expected in Auth Service.,Normal
The Submit button is lagging when fetching user data.,Normal
Logic error in API Gateway while processing checkout.,Normal
Interface error: Footer overlaps with Footer.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
Functional bug: syncing logs in Payment Module is unresponsive.,Normal
Functional bug: uploading files in API Gateway is failing.,Normal
Logic error in S3 Bucket while uploading files.,Normal
Logic error in Auth Service while processing checkout.,Normal
Logic error in S3 Bucket while fetching user data.,Normal
Functional bug: processing checkout in React Store is missing.,Normal
The Navbar is lagging when verifying JWT.,Normal
Logic error in Prisma Layer while processing checkout.,Normal
Functional bug: uploading files in Prisma Layer is failing.,Normal
Logic error in React Store while uploading files.,Normal
Functional bug: uploading files in API Gateway is failing.,Normal
Logic error in Prisma Layer while fetching user data.,Normal
The Navbar is broken when processing checkout.,Normal
Functional bug: processing checkout in Payment Module is broken.,Normal
Logic error in Auth Service while fetching user data.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Logic error in Payment Module while verifying JWT.,Normal
The Submit button is missing when uploading files.,Normal
The Dashboard card is lagging when uploading files.,Normal
Standard issue: processing checkout doesn't work as expected in S3 Bucket.,Normal
Functional bug: uploading files in API Gateway is lagging.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Functional bug: syncing logs in Payment Module is broken.,Normal
Logic error in API Gateway while fetching user data.,Normal
Functional bug: syncing logs in API Gateway is failing.,Normal
Logic error in Prisma Layer while verifying JWT.,Normal
Interface error: Footer overlaps with Footer.,Normal
The Dashboard card is failing when syncing logs.,Normal
Standard issue: processing checkout doesn't work as expected in Prisma Layer.,Normal
Functional bug: syncing logs in React Store is failing.,Normal
Functional bug: fetching user data in API Gateway is unresponsive.,Normal
Functional bug: processing checkout in API Gateway is lagging.,Normal
Interface error: Navbar overlaps with Navbar.,Normal
Functional bug: processing checkout in S3 Bucket is off-center.,Normal
Functional bug: uploading files in API Gateway is broken.,Normal
Interface error: Footer overlaps with Footer.,Normal
Functional bug: syncing logs in Prisma Layer is lagging.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Logic error in React Store while processing checkout.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Interface error: Footer overlaps with Footer.,Normal
Interface error: Navbar overlaps with Navbar.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
Logic error in Auth Service while fetching user data.,Normal
Logic error in Payment Module while uploading files.,Normal
Logic error in S3 Bucket while syncing logs.,Normal
The Navbar is missing when verifying JWT.,Normal
The Dashboard card is unresponsive when fetching user data.,Normal
Logic error in Auth Service while processing checkout.,Normal
Standard issue: uploading files doesn't work as expected in React Store.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Standard issue: fetching user data doesn't work as expected in Prisma Layer.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Logic error in Prisma Layer while verifying JWT.,Normal
Logic error in Payment Module while processing checkout.,Normal
The Navbar is off-center when processing checkout.,Normal
Interface error: Footer overlaps with Footer.,Normal
Logic error in React Store while fetching user data.,Normal
Interface error: Navbar overlaps with Navbar.,Normal
Functional bug: uploading files in Auth Service is unresponsive.,Normal
Logic error in Prisma Layer while processing checkout.,Normal
Logic error in S3 Bucket while verifying JWT.,Normal
The Submit button is broken when uploading files.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Standard issue: verifying JWT doesn't work as expected in S3 Bucket.,Normal
Interface error: Navbar overlaps with Navbar.,Normal
Functional bug: uploading files in S3 Bucket is lagging.,Normal
Standard issue: verifying JWT doesn't work as expected in Auth Service.,Normal
The Footer is broken when fetching user data.,Normal
The Dashboard card is missing when fetching user data.,Normal
The Navbar is broken when verifying JWT.,Normal
Logic error in Payment Module while uploading files.,Normal
Logic error in S3 Bucket while processing checkout.,Normal
Logic error in API Gateway while syncing logs.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Standard issue: processing checkout doesn't work as expected in Payment Module.,Normal
Functional bug: fetching user data in S3 Bucket is broken.,Normal
Logic error in Prisma Layer while verifying JWT.,Normal
Functional bug: verifying JWT in React Store is unresponsive.,Normal
The Dashboard card is lagging when fetching user data.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Standard issue: syncing logs doesn't work as expected in S3 Bucket.,Normal
The Submit button is broken when fetching user data.,Normal
Standard issue: fetching user data doesn't work as expected in Payment Module.,Normal
Standard issue: verifying JWT doesn't work as expected in React Store.,Normal
Functional bug: fetching user data in React Store is unresponsive.,Normal
Logic error in React Store while fetching user data.,Normal
Interface error: Navbar overlaps with Navbar.,Normal
Logic error in React Store while verifying JWT.,Normal
Logic error in API Gateway while syncing logs.,Normal
Logic error in Payment Module while processing checkout.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Functional bug: syncing logs in Auth Service is off-center.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
Interface error: Footer overlaps with Footer.,Normal
The Submit button is off-center when processing checkout.,Normal
Standard issue: verifying JWT doesn't work as expected in S3 Bucket.,Normal
Standard issue: uploading files doesn't work as expected in Auth Service.,Normal
Functional bug: verifying JWT in React Store is failing.,Normal
Standard issue: processing checkout doesn't work as expected in API Gateway.,Normal
Logic error in Payment Module while syncing logs.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Functional bug: verifying JWT in API Gateway is missing.,Normal
Standard issue: syncing logs doesn't work as expected in S3 Bucket.,Normal
Logic error in API Gateway while syncing logs.,Normal
Logic error in Payment Module while syncing logs.,Normal
The Navbar is missing when uploading files.,Normal
Functional bug: fetching user data in Payment Module is lagging.,Normal
The Footer is broken when syncing logs.,Normal
Logic error in S3 Bucket while syncing logs.,Normal
The Navbar is missing when syncing logs.,Normal
Logic error in React Store while fetching user data.,Normal
Functional bug: verifying JWT in Auth Service is broken.,Normal
Standard issue: syncing logs doesn't work as expected in Prisma Layer.,Normal
Standard issue: uploading files doesn't work as expected in Payment Module.,Normal
The Navbar is failing when fetching user data.,Normal
Logic error in React Store while syncing logs.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
Functional bug: fetching user data in Prisma Layer is unresponsive.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
Standard issue: processing checkout doesn't work as expected in React Store.,Normal
Standard issue: verifying JWT doesn't work as expected in Prisma Layer.,Normal
Interface error: Submit button overlaps with Submit button.,Normal
Logic error in Payment Module while verifying JWT.,Normal
Interface error: Footer overlaps with Footer.,Normal
Standard issue: verifying JWT doesn't work as expected in S3 Bucket.,Normal
The Footer is missing when uploading files.,Normal
Logic error in S3 Bucket while fetching user data.,Normal
The Dashboard card is lagging when processing checkout.,Normal
Logic error in Payment Module while fetching user data.,Normal
Standard issue: fetching user data doesn't work as expected in API Gateway.,Normal
Interface error: Footer overlaps with Footer.,Normal
Functional bug: processing checkout in S3 Bucket is unresponsive.,Normal
Logic error in Prisma Layer while uploading files.,Normal
The Footer is lagging when fetching user data.,Normal
Functional bug: fetching user data in API Gateway is broken.,Normal
Interface error: Dashboard card overlaps with Dashboard card.,Normal
The Dashboard card is lagging when processing checkout.,Normal
The Navbar is unresponsive when syncing logs.,Normal
Logic error in Payment Module while verifying JWT.,Normal
Logic error in Auth Service while syncing logs.,Normal
The Submit button is lagging when uploading files.,Normal
Standard issue: uploading files doesn't work as expected in Auth Service.,Normal
Functional bug: syncing logs in Prisma Layer is unresponsive.,Normal
The Navbar is broken when processing checkout.,Normal
Standard issue: processing checkout doesn't work as expected in S3 Bucket.,Normal
Functional bug: syncing logs in Payment Module is unresponsive.,Normal
Interface error: Avatar upload overlaps with Avatar upload.,Normal
The Avatar upload is failing when syncing logs.,Normal
The Submit button is unresponsive when syncing logs.,Normal
Logic error in Auth Service while verifying JWT.,Normal
Standard issue: fetching user data doesn't work as expected in API Gateway.,Normal
Cosmetic: Typo in React Store - 'Recieve' should be 'Login'.,Low
Cosmetic: Typo in Payment Module - 'Loggin' should be 'Receive'.,Low
Request: Could we update the Navbar to be more leaking credentials?,Low
Styling: Navbar padding is slightly missing.,Low
Text correction: Found 'Recieve' instead of 'Process' in the footer.,Low
Request: Could we update the Navbar to be more completely unresponsive?,Low
Request: Could we update the Navbar to be more leaking credentials?,Low
Minor Navbar misalignment in the S3 Bucket view.,Low
Minor Submit button misalignment in the React Store view.,Low
Text correction: Found 'Proccess' instead of 'Login' in the footer.,Low
Text correction: Found 'Proccess' instead of 'Process' in the footer.,Low
Minor Submit button misalignment in the React Store view.,Low
Cosmetic: Typo in Payment Module - 'Comit' should be 'Commit'.,Low
Cosmetic: Typo in Prisma Layer - 'Loggin' should be 'Login'.,Low
Styling: Navbar padding is slightly unresponsive.,Low
Text correction: Found 'Loggin' instead of 'Commit' in the footer.,Low
Minor Footer misalignment in the Prisma Layer view.,Low
Text correction: Found 'Proccess' instead of 'Commit' in the footer.,Low
Minor Dashboard card misalignment in the Auth Service view.,Low
Cosmetic: Typo in React Store - 'Proccess' should be 'Process'.,Low
Styling: Dashboard card padding is slightly lagging.,Low
Minor Submit button misalignment in the React Store view.,Low
Minor Submit button misalignment in the API Gateway view.,Low
Text correction: Found 'Recieve' instead of 'Process' in the footer.,Low
Cosmetic: Typo in S3 Bucket - 'Comit' should be 'Process'.,Low
Minor Submit button misalignment in the S3 Bucket view.,Low
Styling: Submit button padding is slightly off-center.,Low
Text correction: Found 'Proccess' instead of 'Process' in the footer.,Low
Request: Could we update the Navbar to be more dropping connections?,Low
Text correction: Found 'Proccess' instead of 'Login' in the footer.,Low
Styling: Dashboard card padding is slightly lagging.,Low
Cosmetic: Typo in Payment Module - 'Recieve' should be 'Login'.,Low
Text correction: Found 'Comit' instead of 'Login' in the footer.,Low
Styling: Dashboard card padding is slightly unresponsive.,Low
Minor Dashboard card misalignment in the React Store view.,Low
Text correction: Found 'Comit' instead of 'Login' in the footer.,Low
Styling: Submit button padding is slightly broken.,Low
Request: Could we update the Navbar to be more leaking credentials?,Low
Text correction: Found 'Proccess' instead of 'Login' in the footer.,Low
Cosmetic: Typo in Payment Module - 'Recieve' should be 'Receive'.,Low
Minor Navbar misalignment in the Prisma Layer view.,Low
Minor Submit button misalignment in the API Gateway view.,Low
Text correction: Found 'Proccess' instead of 'Commit' in the footer.,Low
Cosmetic: Typo in Auth Service - 'Proccess' should be 'Receive'.,Low
Styling: Navbar padding is slightly off-center.,Low
Cosmetic: Typo in API Gateway - 'Loggin' should be 'Login'.,Low
Styling: Avatar upload padding is slightly broken.,Low
Text correction: Found 'Comit' instead of 'Process' in the footer.,Low
Cosmetic: Typo in Prisma Layer - 'Loggin' should be 'Process'.,Low
Request: Could we update the Footer to be more leaking credentials?,Low
Request: Could we update the Avatar upload to be more dropping connections?,Low
Request: Could we update the Navbar to be more leaking credentials?,Low
Text correction: Found 'Loggin' instead of 'Commit' in the footer.,Low
Text correction: Found 'Proccess' instead of 'Process' in the footer.,Low
Request: Could we update the Footer to be more crashing production?,Low
Request: Could we update the Dashboard card to be more dropping connections?,Low
Cosmetic: Typo in API Gateway - 'Loggin' should be 'Commit'.,Low
Text correction: Found 'Comit' instead of 'Login' in the footer.,Low
Minor Navbar misalignment in the Prisma Layer view.,Low
Request: Could we update the Footer to be more completely unresponsive?,Low
Cosmetic: Typo in React Store - 'Recieve' should be 'Process'.,Low
Text correction: Found 'Proccess' instead of 'Login' in the footer.,Low
Styling: Footer padding is slightly failing.,Low
Minor Avatar upload misalignment in the React Store view.,Low
Styling: Dashboard card padding is slightly missing.,Low
Cosmetic: Typo in Auth Service - 'Recieve' should be 'Process'.,Low
Text correction: Found 'Loggin' instead of 'Receive' in the footer.,Low
Request: Could we update the Footer to be more dropping connections?,Low
Request: Could we update the Avatar upload to be more crashing production?,Low
Cosmetic: Typo in React Store - 'Loggin' should be 'Receive'.,Low
Minor Submit button misalignment in the Prisma Layer view.,Low
Styling: Submit button padding is slightly broken.,Low
Minor Navbar misalignment in the React Store view.,Low
Styling: Dashboard card padding is slightly off-center.,Low
Text correction: Found 'Comit' instead of 'Commit' in the footer.,Low
Cosmetic: Typo in Payment Module - 'Recieve' should be 'Commit'.,Low
Request: Could we update the Submit button to be more leaking credentials?,Low
Request: Could we update the Navbar to be more crashing production?,Low
Minor Avatar upload misalignment in the Payment Module view.,Low
Styling: Footer padding is slightly lagging.,Low
Styling: Avatar upload padding is slightly broken.,Low
Text correction: Found 'Loggin' instead of 'Login' in the footer.,Low
Styling: Avatar upload padding is slightly failing.,Low
Minor Avatar upload misalignment in the Payment Module view.,Low
Styling: Footer padding is slightly lagging.,Low
Cosmetic: Typo in Auth Service - 'Comit' should be 'Login'.,Low
Request: Could we update the Footer to be more completely unresponsive?,Low
Request: Could we update the Navbar to be more crashing production?,Low
Styling: Footer padding is slightly off-center.,Low
Text correction: Found 'Proccess' instead of 'Commit' in the footer.,Low
Minor Submit button misalignment in the API Gateway view.,Low
Cosmetic: Typo in S3 Bucket - 'Recieve' should be 'Commit'.,Low
Styling: Avatar upload padding is slightly missing.,Low
Styling: Submit button padding is slightly lagging.,Low
Cosmetic: Typo in Prisma Layer - 'Comit' should be 'Process'.,Low
Request: Could we update the Navbar to be more crashing production?,Low
Cosmetic: Typo in React Store - 'Proccess' should be 'Login'.,Low
Text correction: Found 'Proccess' instead of 'Process' in the footer.,Low
Request: Could we update the Dashboard card to be more dropping connections?,Low
Minor Avatar upload misalignment in the Prisma Layer view.,Low
Minor Avatar upload misalignment in the React Store view.,Low
Cosmetic: Typo in Auth Service - 'Proccess' should be 'Process'.,Low
Styling: Avatar upload padding is slightly broken.,Low
Request: Could we update the Dashboard card to be more completely unresponsive?,Low
Styling: Footer padding is slightly broken.,Low
Styling: Footer padding is slightly off-center.,Low
Request: Could we update the Footer to be more dropping connections?,Low
Request: Could we update the Dashboard card to be more dropping connections?,Low
Cosmetic: Typo in Payment Module - 'Comit' should be 'Login'.,Low
Cosmetic: Typo in Prisma Layer - 'Loggin' should be 'Login'.,Low
Minor Avatar upload misalignment in the API Gateway view.,Low
Cosmetic: Typo in Payment Module - 'Loggin' should be 'Process'.,Low
Request: Could we update the Navbar to be more leaking credentials?,Low
Cosmetic: Typo in Auth Service - 'Loggin' should be 'Login'.,Low
Request: Could we update the Navbar to be more crashing production?,Low
Minor Dashboard card misalignment in the React Store view.,Low
Text correction: Found 'Comit' instead of 'Process' in the footer.,Low
Minor Avatar upload misalignment in the API Gateway view.,Low
Minor Navbar misalignment in the S3 Bucket view.,Low
Request: Could we update the Footer to be more completely unresponsive?,Low
Text correction: Found 'Comit' instead of 'Login' in the footer.,Low
Text correction: Found 'Loggin' instead of 'Process' in the footer.,Low
Styling: Navbar padding is slightly lagging.,Low
Text correction: Found 'Recieve' instead of 'Commit' in the footer.,Low
Minor Avatar upload misalignment in the Payment Module view.,Low
Request: Could we update the Avatar upload to be more dropping connections?,Low
Request: Could we update the Avatar upload to be more completely unresponsive?,Low
Request: Could we update the Navbar to be more leaking credentials?,Low
Text correction: Found 'Comit' instead of 'Login' in the footer.,Low
Request: Could we update the Avatar upload to be more dropping connections?,Low
Styling: Avatar upload padding is slightly lagging.,Low
Cosmetic: Typo in Payment Module - 'Loggin' should be 'Commit'.,Low
Cosmetic: Typo in S3 Bucket - 'Comit' should be 'Login'.,Low
